iter	TotalF1	MultiClass
246	0.6821669425	0.6660114499
247	0.6821129923	0.6658427198
248	0.6823947549	0.6656590401
249	0.6825966637	0.6654076009
250	0.6824814311	0.6652685931
251	0.6825292101	0.6649400756
252	0.6826488372	0.6647754746
253	0.6828572409	0.6644216381
254	0.6830697749	0.6644026006
255	0.6833064748	0.6642508765
256	0.6831694735	0.6639622354
257	0.6833384699	0.6637513875
258	0.6834348096	0.6635145105
259	0.6836509229	0.6633068538
260	0.6838315216	0.6631262207
261	0.6840434529	0.6629144795
262	0.6842202849	0.6627816985
263	0.6846379039	0.6625756913
264	0.6846482701	0.6623952077
265	0.6849127232	0.6618976582
266	0.6848980042	0.661585159
267	0.6848886926	0.6615305243
268	0.6849762053	0.6611544049
269	0.6851339667	0.6609992324
270	0.6854050134	0.660775838
271	0.6853131109	0.6606535374
272	0.6852620324	0.6606321586
273	0.6855440721	0.660446733
274	0.6861229406	0.6602470482
275	0.6860981563	0.6600094419
276	0.686131648	0.6598882644
277	0.6863266305	0.65972715
278	0.6864702391	0.659560489
279	0.6865188382	0.6592990805
280	0.6865078563	0.6591198539
281	0.6867747116	0.6588599685
282	0.6870600388	0.6585706609
283	0.687215805	0.658266973
284	0.6872895812	0.6581656303
285	0.6872060104	0.6581040104
286	0.6876715167	0.6578961911
287	0.6878556485	0.657496808
288	0.6882033497	0.6573425178
289	0.6880964477	0.6571047655
290	0.6883779677	0.6569421135
291	0.6886601142	0.6566809001
292	0.6886221046	0.6565410361
293	0.6889269408	0.6562527613
294	0.6890102797	0.6559883455
295	0.6892175232	0.6556981475
296	0.6896139357	0.6555578655
297	0.6895676155	0.6553562505
298	0.690012257	0.6551937871
299	0.6900928742	0.6550901603
300	0.689968057	0.6548220767
301	0.6899154834	0.6547780412
302	0.6899049575	0.6543330984
303	0.6907571348	0.653957791
304	0.690664792	0.653706111
305	0.6908251565	0.653442305
306	0.6909262015	0.6532224273
307	0.6910646159	0.6529723543
308	0.6914298299	0.6526990362
309	0.6914870607	0.6524623346
310	0.691786465	0.6522724359
311	0.6918813016	0.6520847475
312	0.692057699	0.6519043004
313	0.6921292907	0.6515323824
314	0.6923080183	0.6512732045
315	0.6926441687	0.6510475161
316	0.6925834877	0.6510310902
317	0.6922980708	0.6508749463
318	0.6923243722	0.6507756207
319	0.6923803174	0.650578883
320	0.6925202828	0.6503271886
321	0.6926727236	0.6501623315
322	0.6929381617	0.6499021211
323	0.6926380576	0.6497415287
324	0.6930573071	0.6494761268
325	0.6932257586	0.6493325061
326	0.6935533308	0.6491466833
327	0.6937927555	0.6488886453
328	0.6940095651	0.648694119
329	0.6943544942	0.6484112206
330	0.6943983295	0.6483183203
331	0.6949666282	0.6480473262
332	0.6950573155	0.6478556473
333	0.6953496996	0.6475803962
334	0.695556353	0.6474725306
335	0.6958879484	0.64721142
336	0.6960234216	0.6471051757
337	0.6962424677	0.6469037434
338	0.6961548623	0.6467815069
339	0.6963212945	0.6465580829
340	0.6966449034	0.64637733
341	0.6966411789	0.6462185361
342	0.6966594644	0.6461854373
343	0.6968237642	0.6459415485
344	0.696996044	0.6457609765
345	0.6972819589	0.6455304253
346	0.6973861504	0.6454412007
347	0.69781077	0.64535557
348	0.6978684931	0.6452210946
349	0.6980847844	0.6450778332
350	0.6980164047	0.6449801726
351	0.6981482243	0.6447514347
352	0.6979872153	0.6444711549
353	0.6982780944	0.6443321274
354	0.6985238492	0.6440781616
355	0.6985645879	0.6438338465
356	0.6987461295	0.6434878933
357	0.6988511569	0.6431996595
358	0.6989024693	0.6430622113
359	0.6989669952	0.6430475524
360	0.6992829118	0.6428397677
361	0.6993859454	0.6426566215
362	0.6995803184	0.642578712
363	0.699686805	0.6423878913
364	0.7001356053	0.6421658258
365	0.7000126265	0.6419802013
366	0.7000047511	0.6419572609
367	0.7001539296	0.6418200536
368	0.7004053096	0.6414747424
369	0.7005095331	0.6412792827
370	0.7003716429	0.6411044991
371	0.7007090021	0.6407716078
372	0.7009813046	0.6405611652
373	0.7009132633	0.6404621627
374	0.7010663725	0.6402184766
375	0.7011531725	0.6401207185
376	0.7011276208	0.6398107522
377	0.7010626492	0.6396863702
378	0.7012762661	0.6394791905
379	0.7017579864	0.6393334478
380	0.7023748657	0.6390571522
381	0.7021279621	0.6389100642
382	0.702069635	0.6387922613
383	0.7021006936	0.6386782906
384	0.702149287	0.6384965656
385	0.7023426674	0.6383075937
386	0.7024196601	0.6382757088
387	0.7026532281	0.6381054071
388	0.702802238	0.6379528333
389	0.7028667341	0.6377164891
390	0.703187658	0.6374974188
391	0.7030734323	0.6374732138
392	0.7032153117	0.6372696899
393	0.7033533992	0.6370740969
394	0.7034638166	0.6368414065
395	0.7035557618	0.6365977866
396	0.7038860331	0.6363598039
397	0.7041044979	0.6360667595
398	0.7039871253	0.6359424866
399	0.7040240496	0.6356324399
400	0.704477811	0.6353729632
401	0.7047181832	0.6351983701
402	0.7045982157	0.6351274577
403	0.7047193354	0.634937644
404	0.7052483799	0.6347236323
405	0.7054409643	0.6346272392
406	0.705510087	0.6345013587
407	0.705495763	0.6343761403
408	0.7057458119	0.6341882416
409	0.7057942174	0.634016394
410	0.7060442076	0.633972513
411	0.7062169252	0.6338396281
412	0.7060875759	0.6336600725
413	0.7061710848	0.6334672076
414	0.706341645	0.6331931369
415	0.7066797197	0.6329119131
416	0.7068761035	0.632651647
417	0.7068188243	0.6326195903
418	0.7071349075	0.6325847936
419	0.7071153011	0.6324725022
420	0.7068407891	0.6323324179
421	0.7073876626	0.6321051641
422	0.7074673398	0.6320893299
423	0.7075456951	0.6319107706
424	0.7075010435	0.6317846006
425	0.7077396833	0.6316596958
426	0.7079453694	0.6315049013
427	0.7082075038	0.6312693248
428	0.7081718256	0.631064143
429	0.7083887695	0.6307618852
430	0.7087290072	0.630572813
431	0.7089415499	0.6303221159
432	0.7090978875	0.6300217482
433	0.7091787111	0.6297963557
434	0.7093596826	0.6296507752
435	0.7092714016	0.6295346068
436	0.7093763061	0.6292131392
437	0.7095012811	0.6290890438
438	0.71056454	0.6287613268
439	0.7106602803	0.6285551518
440	0.7108359818	0.628394267
441	0.7108414644	0.6283215982
442	0.7110781767	0.6281380226
443	0.7111426699	0.6280189744
444	0.7109883523	0.6278591484
445	0.7110761734	0.6277133594
446	0.7111677237	0.6275783376
447	0.7112360239	0.6274117039
448	0.7108519128	0.627265598
449	0.7109667773	0.6270613658
450	0.7111180651	0.6269114241
451	0.7112153349	0.6268867847
452	0.7111063545	0.6267705091
453	0.7115990822	0.6266058295
454	0.7118305687	0.6264104813
455	0.7117800854	0.6262032582
456	0.712222743	0.6259671949
457	0.7125974686	0.6256393766
458	0.7126728425	0.6255534168
459	0.713124088	0.6252783775
460	0.7132603341	0.6250416625
461	0.7132763613	0.6248574904
462	0.7134966555	0.6245977168
463	0.7137372301	0.6243720597
464	0.7136323636	0.6242772927
465	0.7135757327	0.6241234284
466	0.714004615	0.6239557399
467	0.7136633547	0.6237884492
468	0.7138216325	0.6236611639
469	0.7136863595	0.6233678177
470	0.714075351	0.623153102
471	0.7143451848	0.6229798866
472	0.7144973753	0.6227622227
473	0.714491263	0.6226487107
474	0.7148955102	0.6225065645
475	0.7147221871	0.6223386622
476	0.7148520856	0.6221955809
477	0.7148297964	0.6219925363
478	0.7149030956	0.621732148
479	0.714983829	0.6216147383
480	0.7152533858	0.6213776701
481	0.7152128485	0.6211846207
482	0.7154102001	0.621072278
483	0.7156141463	0.6208628694
484	0.7154721836	0.6207319328
485	0.7157626129	0.6205476017
486	0.716005612	0.6203530043
487	0.716104849	0.6200681804
488	0.7163909137	0.619865655
489	0.7168284144	0.6196203064
490	0.7170178367	0.6194133318
491	0.7171168893	0.6192817966
492	0.7174003509	0.6189779469
493	0.7174404459	0.618670002
494	0.7175584584	0.6184620548
495	0.7177920592	0.6182267094
496	0.7177198477	0.6180521328
497	0.717830519	0.6178157277
498	0.7182121398	0.6177068384
499	0.7182706292	0.6175733982
500	0.7184927985	0.6173966936
501	0.7184509937	0.6171050709
502	0.7186071439	0.6170260832
503	0.7185810602	0.6169284135
504	0.7190129498	0.6166959424
505	0.7186404716	0.6165729952
506	0.7189005944	0.6164538509
507	0.7187768624	0.6163308155
508	0.7188596418	0.6162301167
509	0.7186824151	0.6160868307
510	0.7191722884	0.6159880892
511	0.7192395121	0.6158722173
512	0.7192253037	0.6156900138
513	0.7193415563	0.6155436188
514	0.7196191456	0.6153900151
515	0.7196831726	0.6152226116
516	0.7198108585	0.615051477
517	0.7198670189	0.6148736449
518	0.7197997578	0.6147843385
519	0.7199401934	0.6145716446
520	0.7201626455	0.6144096815
521	0.720103752	0.6142037155
522	0.7203994419	0.6139615304
523	0.7205039047	0.6136385056
524	0.7204372173	0.6134807773
525	0.7205492674	0.6132003886
526	0.7208272798	0.6129927327
527	0.7209393929	0.6129287983
528	0.7211443871	0.6128411466
529	0.7211751257	0.6126564679
530	0.7209925568	0.6125569464
531	0.7212486172	0.61240086
532	0.7213272632	0.6123174378
533	0.7212280043	0.6121446089
534	0.7213887927	0.6120312753
535	0.7215414114	0.6119118782
536	0.7216095777	0.6117501853
537	0.7217233813	0.6115285941
538	0.7219261689	0.611348223
539	0.7220376859	0.6112622879
540	0.722270342	0.6110790872
541	0.7223621978	0.6109546413
542	0.7225991095	0.6107456612
543	0.7226829961	0.6107197573
544	0.7226222045	0.6105267723
545	0.7228727732	0.610443532
546	0.7230700015	0.6102614629
547	0.7230700277	0.6100478915
548	0.7233378201	0.6099305101
549	0.723391929	0.6099080515
550	0.7233790124	0.6097895184
551	0.7234243704	0.6095882699
552	0.7233613167	0.6094484709
553	0.7237911183	0.6091350023
554	0.7237443106	0.6089796824
555	0.7236558426	0.6088490225
556	0.7241358205	0.6086132163
557	0.7240613899	0.6085492091
558	0.7241882706	0.6084151408
559	0.7242352983	0.6083605037
560	0.7245830976	0.6082750247
561	0.7244701989	0.6081774967
562	0.7244849426	0.6080166486
563	0.724332836	0.6078596019
564	0.7244072323	0.6077163099
565	0.7246141267	0.6075075163
566	0.7247156121	0.6073353828
567	0.7247808447	0.6072006696
568	0.7247608658	0.6070013491
569	0.7250244438	0.6069050229
570	0.7250349282	0.6066774795
571	0.7250207666	0.6064176442
572	0.7250321984	0.6063433212
573	0.7252364009	0.6061377065
574	0.725462422	0.6059174862
575	0.7255392263	0.6057749843
576	0.7252443311	0.6055664546
577	0.7253963456	0.6054767425
578	0.7257267997	0.6054100298
579	0.7254551894	0.6053090521
580	0.7257925367	0.605206818
581	0.7255303776	0.6051188406
582	0.725725083	0.6048866479
583	0.725879114	0.6047872457
584	0.7258295448	0.6047837586
585	0.7259425476	0.6046965406
586	0.7265137021	0.6044805874
587	0.7270457351	0.6042673469
588	0.72704863	0.6040859241
589	0.7270156708	0.6039450861
590	0.7274377856	0.6038192687
591	0.7273049715	0.6037031679
592	0.7275424	0.6035227652
593	0.7276581395	0.6033975097
594	0.7277942899	0.6031815112
595	0.7278781047	0.6030659409
596	0.7277171186	0.6030180358
597	0.7276417599	0.6029803725
598	0.727906465	0.6028582367
599	0.72803655	0.6027356852
